id,title,description,comm_date,district,fee,category,course_url,contact,poster_img,is_active,creation_date
1,手机基础班,适合长者的智能手机入门,2026-06-23 23:46:25,中西區,0,手機班,https://example.com,李先生,courses/01.png,1,2026-06-23 23:46:25
2,長者手機基礎班 — WhatsApp 唔怕俾人呃,油尖旺長者服務中心 (旺角地鐵站E出口，行2分鐘就到)  呢個課程專為未熟習手機操作嘅長者設計。內容包括：WhatsApp 傳送訊息、語音通話、視像通話；如何辨識詐騙訊息；設定雙重驗證保護帳戶；封鎖可疑聯絡人。課堂以小班教學形式進行，每位學員都有充足時間練習。,2026-06-23 23:46:25,油尖旺區,0,手機班,NA,2388 1234,courses/01_長者手機基礎班_idZbHbn.png,1,2026-06-23 23:46:25
3,防騙講座：識破最新電話騙局,灣仔社區中心 (軒尼詩道130號，近灣仔地鐵站A出口)  由反詐騙協調中心職員主講，內容包括：最新電話騙局案例剖析、AI 合成聲音辨識技巧、偽造來電號碼識破方法、假冒官員來電應對策略。參加者可獲贈《防騙指南》小冊子。,2026-06-23 23:46:25,灣仔區,0,防騙講座,NA,2519 1234,courses/02_防騙講座_vElJMYj.png,1,2026-06-23 23:46:25
4,數位支付安全班,沙田長者鄰舍中心 (沙田大會堂側，沙田站步行5分鐘)  電子支付越來越普及，但安全風險亦隨之增加。本課程教你：八達通 App 查閱餘額及交易記錄；支付寶香港安全設定；轉數快過數注意事項；設定支付密碼及生物認證；識別釣魚網站。,2026-06-23 23:46:25,沙田區,30,手機班,NA,2691 2345,courses/03_數位支付安全班_6EMUI3Q.png,1,2026-06-23 23:46:25
5,網購安全攻略,屯門長者服務中心 (屯門市中心，屯門站F出口)  網上購物方便快捷，但陷阱處處。本課程教你：分辨真假購物網站的方法；安全付款流程；如何查證賣家信譽；收到可疑連結時的處理步驟；保護個人資料不被盜用。,2026-06-23 23:46:25,屯門區,0,手機班,NA,2451 2345,courses/04_網購安全攻略_20JVUjl.png,1,2026-06-23 23:46:25
6,線上防騙工作坊,Zoom 線上會議 (連結將於報名後提供)  留在家中都可以學習！透過 Zoom 參加網上防騙講座，內容包括：Zoom 基本操作教學、識破網絡詐騙手法、安全使用視像會議軟件。適合行動不便或居住偏遠地區嘅長者。,2026-06-23 23:46:25,中西區,0,防騙講座,NA,📞 18222,courses/05_線上防騙工作坊_xBfMu6v.png,1,2026-06-23 23:46:25
7,長者數位攝影班,長洲社區會堂 (長洲碼頭步行10分鐘)  用手機記錄生活美好時刻！內容包括：手機攝影基本技巧、儲存及管理相片、將相片分享給家人、備份到雲端防止遺失。課程提供實習時間，學員可即場練習。,2026-06-23 23:46:25,離島區,0,手機班,NA,2981 2345,courses/06_長者數位攝影班_uIL8chG.png,1,2026-06-23 23:46:25
8,識破假新聞工作坊,觀塘社區中心 (觀塘地鐵站A出口，行3分鐘)  網上資訊真假難辨，本工作坊教你：識別假新聞的特徵、查證消息來源的方法、不實廣告的常見手法、如何向家人分享正確資訊。做個精明嘅數位公民！,2026-06-23 23:46:25,觀塘區,0,數位基礎,NA,2345 6789,courses/07_識破假新聞工作坊_2rXLBGu.png,1,2026-06-23 23:46:25
9,長者 AI 防騙講座,元朗大會堂 (元朗大馬路，輕鐵康樂路站)  AI 技術被騙徒利用，假冒親人聲音或影片進行詐騙。本講座教你：AI 合成聲音的辨識方法、視像通話核實身份的技巧、設定家庭暗號應對緊急情況、遇到可疑情況時的應變步驟。,2026-06-23 23:46:25,元朗區,20,防騙講座,NA,2478 1234,courses/08_長者_AI_防騙講座_Rl2ekWa.png,1,2026-06-23 23:46:25
10,社交媒體私隱設定班,荃灣長者服務中心 (荃灣站B出口，天橋直達)  社交媒體私隱設定好重要！本課程教你：Facebook 私隱設定（誰可看到你的帖子、個人資料）；微信安全設定；封鎖及舉報可疑帳戶；避免個人資料外洩。,2026-06-23 23:46:25,荃灣區,0,手機班,NA,2412 3456,courses/09_社交媒體私隱設定班_cl5hd8R.png,1,2026-06-23 23:46:25
